model,mode,template,accuracy,prompt_consistency,source
Qwen3-1.7B,thinking,direct,0.952,0.849,Qwen3-1.7B_thinking_test_metrics.csv
Qwen3-1.7B,thinking,judge,0.938,0.849,Qwen3-1.7B_thinking_test_metrics.csv
Qwen3-1.7B,thinking,minimal,0.885,0.849,Qwen3-1.7B_thinking_test_metrics.csv
Qwen3-0.6B,thinking,minimal,0.819,0.381,Qwen3-0.6B_thinking_test_metrics.csv
Qwen3.5-2B,thinking,direct,0.803,0.461,Qwen3.5-2B_thinking_test_metrics.csv
Qwen3.5-2B,thinking,minimal,0.800,0.461,Qwen3.5-2B_thinking_test_metrics.csv
Qwen3.5-0.8B,thinking,direct,0.724,0.360,Qwen3.5-0.8B_thinking_test_metrics.csv
Qwen3-0.6B,thinking,direct,0.709,0.381,Qwen3-0.6B_thinking_test_metrics.csv
Qwen3-1.7B,non_thinking,minimal,0.706,0.261,Qwen3-1.7B_non_thinking_test_metrics.csv
Qwen3.5-0.8B,thinking,minimal,0.692,0.360,Qwen3.5-0.8B_thinking_test_metrics.csv
Qwen3.5-2B,non_thinking,minimal,0.684,0.418,Qwen3.5-2B_non_thinking_test_metrics.csv
Qwen3.5-2B,thinking,judge,0.675,0.461,Qwen3.5-2B_thinking_test_metrics.csv
Qwen3.5-0.8B,thinking,judge,0.617,0.360,Qwen3.5-0.8B_thinking_test_metrics.csv
Qwen3-1.7B,non_thinking,judge,0.574,0.261,Qwen3-1.7B_non_thinking_test_metrics.csv
Qwen3.5-2B,non_thinking,direct,0.566,0.418,Qwen3.5-2B_non_thinking_test_metrics.csv
Qwen3-1.7B,non_thinking,direct,0.565,0.261,Qwen3-1.7B_non_thinking_test_metrics.csv
Qwen3-0.6B,thinking,judge,0.553,0.381,Qwen3-0.6B_thinking_test_metrics.csv
Qwen3.5-0.8B,non_thinking,minimal,0.547,0.232,Qwen3.5-0.8B_non_thinking_test_metrics.csv
Qwen3.5-2B,non_thinking,judge,0.527,0.418,Qwen3.5-2B_non_thinking_test_metrics.csv
Qwen3.5-0.8B,non_thinking,judge,0.515,0.232,Qwen3.5-0.8B_non_thinking_test_metrics.csv
Qwen3-0.6B,non_thinking,judge,0.500,0.964,Qwen3-0.6B_non_thinking_test_metrics.csv
Qwen3-0.6B,non_thinking,direct,0.500,0.964,Qwen3-0.6B_non_thinking_test_metrics.csv
Qwen3-0.6B,non_thinking,minimal,0.494,0.964,Qwen3-0.6B_non_thinking_test_metrics.csv
Qwen3.5-0.8B,non_thinking,direct,0.470,0.232,Qwen3.5-0.8B_non_thinking_test_metrics.csv
