source,experiment,method,metric,value,split,notes
Qwen3-0.6B_non_thinking_order_metrics.csv,order_consistency,Qwen3-0.6B:non_thinking:zero_shot:direct,order_consistency,0.000000,test,matched=1000
Qwen3-0.6B_non_thinking_order_metrics.csv,order_consistency,Qwen3-0.6B:non_thinking:zero_shot:judge,order_consistency,0.000000,test,matched=1000
Qwen3-0.6B_non_thinking_order_metrics.csv,order_consistency,Qwen3-0.6B:non_thinking:zero_shot:minimal,order_consistency,0.061000,test,matched=1000
Qwen3-0.6B_non_thinking_swap_metrics.csv,order_swap_accuracy,Qwen3-0.6B:non_thinking:zero_shot:direct,accuracy,0.500000,test,
Qwen3-0.6B_non_thinking_swap_metrics.csv,order_swap_accuracy,Qwen3-0.6B:non_thinking:zero_shot:judge,accuracy,0.500000,test,
Qwen3-0.6B_non_thinking_swap_metrics.csv,order_swap_accuracy,Qwen3-0.6B:non_thinking:zero_shot:minimal,accuracy,0.499000,test,
Qwen3-0.6B_non_thinking_swap_metrics.csv,order_swap_accuracy,Qwen3-0.6B:non_thinking:zero_shot,prompt_consistency,0.967000,test,items=1000
Qwen3-0.6B_non_thinking_test_few_shot_8_metrics.csv,few_shot_8,Qwen3-0.6B:non_thinking:few_shot_8:direct,accuracy,0.500000,test,
Qwen3-0.6B_non_thinking_test_few_shot_8_metrics.csv,few_shot_8,Qwen3-0.6B:non_thinking:few_shot_8:judge,accuracy,0.500000,test,
Qwen3-0.6B_non_thinking_test_few_shot_8_metrics.csv,few_shot_8,Qwen3-0.6B:non_thinking:few_shot_8:minimal,accuracy,0.500000,test,
Qwen3-0.6B_non_thinking_test_few_shot_8_metrics.csv,few_shot_8,Qwen3-0.6B:non_thinking:few_shot_8,prompt_consistency,1.000000,test,items=1000
Qwen3-0.6B_non_thinking_test_metrics.csv,zero_shot,Qwen3-0.6B:non_thinking:zero_shot:direct,accuracy,0.500000,test,
Qwen3-0.6B_non_thinking_test_metrics.csv,zero_shot,Qwen3-0.6B:non_thinking:zero_shot:judge,accuracy,0.500000,test,
Qwen3-0.6B_non_thinking_test_metrics.csv,zero_shot,Qwen3-0.6B:non_thinking:zero_shot:minimal,accuracy,0.494000,test,
Qwen3-0.6B_non_thinking_test_metrics.csv,zero_shot,Qwen3-0.6B,prompt_consistency,0.964000,test,items=1000
Qwen3-0.6B_thinking_order_metrics.csv,order_consistency,Qwen3-0.6B:thinking:zero_shot:direct,order_consistency,0.556000,test,matched=1000
Qwen3-0.6B_thinking_order_metrics.csv,order_consistency,Qwen3-0.6B:thinking:zero_shot:judge,order_consistency,0.519000,test,matched=1000
Qwen3-0.6B_thinking_order_metrics.csv,order_consistency,Qwen3-0.6B:thinking:zero_shot:minimal,order_consistency,0.747000,test,matched=1000
Qwen3-0.6B_thinking_swap_metrics.csv,order_swap_accuracy,Qwen3-0.6B:thinking:zero_shot:direct,accuracy,0.711000,test,
Qwen3-0.6B_thinking_swap_metrics.csv,order_swap_accuracy,Qwen3-0.6B:thinking:zero_shot:judge,accuracy,0.544000,test,
Qwen3-0.6B_thinking_swap_metrics.csv,order_swap_accuracy,Qwen3-0.6B:thinking:zero_shot:minimal,accuracy,0.802000,test,
Qwen3-0.6B_thinking_swap_metrics.csv,order_swap_accuracy,Qwen3-0.6B:thinking:zero_shot,prompt_consistency,0.370000,test,items=1000
Qwen3-0.6B_thinking_test_few_shot_8_metrics.csv,few_shot_8,Qwen3-0.6B:thinking:few_shot_8:direct,accuracy,0.603000,test,
Qwen3-0.6B_thinking_test_few_shot_8_metrics.csv,few_shot_8,Qwen3-0.6B:thinking:few_shot_8:judge,accuracy,0.459000,test,
Qwen3-0.6B_thinking_test_few_shot_8_metrics.csv,few_shot_8,Qwen3-0.6B:thinking:few_shot_8:minimal,accuracy,0.607000,test,
Qwen3-0.6B_thinking_test_few_shot_8_metrics.csv,few_shot_8,Qwen3-0.6B:thinking:few_shot_8,prompt_consistency,0.316000,test,items=1000
Qwen3-0.6B_thinking_test_metrics.csv,zero_shot,Qwen3-0.6B:thinking:zero_shot:direct,accuracy,0.709000,test,
Qwen3-0.6B_thinking_test_metrics.csv,zero_shot,Qwen3-0.6B:thinking:zero_shot:judge,accuracy,0.553000,test,
Qwen3-0.6B_thinking_test_metrics.csv,zero_shot,Qwen3-0.6B:thinking:zero_shot:minimal,accuracy,0.819000,test,
