id,sent0,sent1,gold
train_00000,He poured orange juice on his cereal.,He poured milk on his cereal.,0
train_00001,He drinks milk.,He drinks apple.,1
train_00002,"Jeff ran 100,000 miles today",Jeff ran a mile today,0
train_00003,A mosquito stings me,I sting a mosquito,1
train_00004,A giraffe is a person.,A niece is a person.,0
train_00005,A walk-in closet is larger than a normal closet.,A normal closet is larger than a walk-in closet.,1
train_00006,I like to ride my chocolate,I like to ride my bike,0
train_00007,A GIRL WON THE RACE WITH HER FRIEND,A GIRL WON THE RACE WITH HORSE,1
train_00008,he put elephant into the jug,he pour water in to the jug,0
train_00009,A girl plays volleyball,A dog plays volleyball,1
train_00010,Eggs eat kis on Easter.,Kids find eggs on Easter.,0
train_00011,Mark drank water.,Mark drank a notebook.,1
train_00012,He went to the police station to withdraw cash.,He went to the bank to withdraw cash.,0
train_00013,An owner can price goods,An employee can price goods,1
train_00014,she wear hat in the hand,she wear bangles in the hand,0
train_00015,My cousin throws the snowball to my brother.,My cousin throws the house to my brother.,1
train_00016,Roses buds  eat caterpillars,The caterpillar eats the rose bud,0
train_00017,Lisa played jazz music for the President of the USA yesterday.,Lisa played jazz music for Moses of the Old Testament yesterday.,1
train_00018,the computer broke down and the doctor fixed it,the computer broke down and the technician will fix it,0
train_00019,I drank water.,I drank bleach.,1
train_00020,I usually wear a shoe on my head,I usually wear a shoes in my feet,0
train_00021,My brother placed the car inside the box.,My brother placed the nuclear reactor inside the box.,1
train_00022,She took the chair for a walk,She took the dog for a walk,0
train_00023,A dog barked at a cat in the street.,A dog roared at a cat in the street.,1
train_00024,He mowed the carpet,He mowed the tall grass,0
train_00025,I drive a car,I drive a bike,1
train_00026,I dress an elephant,I dress myself,0
train_00027,I cook fish very well,I cook football very well,1
train_00028,Car is a very good mode of water transport,Boat is a very good mode of water transport,0
train_00029,a dog is taken to a veterinarian after getting sick,a dog is taken to a pool after getting sick,1
train_00030,She rode her bike to the moon.,She rode her bike to the store.,0
train_00031,A mobile phone shut down,A boy shuts down,1
train_00032,He planted cucumber seeds in the couch.,He planted cucumber seeds in the garden.,0
train_00033,I play games on my laptop,I play games on my Gas stove,1
train_00034,Stars read me,I read stars,0
train_00035,A boy turns off the light,A boy turns off the door,1
train_00036,He read a very long window King Tut.,He read a  book about King Tut.,0
train_00037,He lost his phone at the park.,He lost his phone in the mouth of a griffin.,1
train_00038,Sara had a glass of petrol,Sara had a glass of water,0
train_00039,he kept a juice bottle into the fridge,he kept a chair inside the fridge,1
train_00040,I read a tiger,I read a book,0
train_00041,I use internet in my mobile,I use internet on my radio,1
train_00042,She drove her children to the moon.,She drove her children to the playground.,0
train_00043,She drove to the grocery store.,She parachuted into the grocery store from a plane.,1
train_00044,The fish swam in the desert.,The fish swam in the ocean.,0
train_00045,There was a man walking in the snow.,There was a dead ice creature walking in the snow.,1
train_00046,I swim under a tap,I swim in a swimming pool,0
train_00047,A person eats tomatoes,A person eats mountains,1
train_00048,Jane saw a giraffe in her purse.,Jane saw a giraffe at the zoo.,0
train_00049,We use a clock to know the time,We use book to know the time,1
train_00050,I was playing basketball with a rock,I was playing basketball with a ball,0
train_00051,Mary took her dog for a walk,Mary took her moth for a walk,1
train_00052,I like to listen colours as I commute,I like to listen podcasts as I commute,0
train_00053,I run in the ground,I run in the air,1
train_00054,There was a blonde woman riding a dragon.,There was a woman riding an elephant in Africa.,0
train_00055,He ate an apple,He ate the book,1
train_00056,Jake ate artificial mango,Jack ate mango,0
train_00057,Baby is taking toys,Baby is taking dictionary,1
train_00058,the school was open for summer,the school was open for fall,0
train_00059,The chocolate melted,The chocolate cried,1
train_00060,There are barbecues in the middle of a television program,There are commercials in the middle of a television program,0
train_00061,He was tired and so he went to get into his bed.,He was tired and so he went to get into his car.,1
train_00062,You never puke after getting drunk,You sometimes puke after getting drunk,0
train_00063,You can use a checkbook holder to hold checks.,You can use a jellyfish to hold checks.,1
train_00064,Lawyers are people who play characters in television or theatre,Actors are people who play characters in television or theatre,0
train_00065,A man drove a car.,A giraffe drove a car,1
train_00066,A small dog is called a kitten,A small dog is called a puppy,0
train_00067,The man went to work,The parrot went to work,1
train_00068,My daughter always takes bath in a kitchen sink and avoids bath tub,My daughter always takes bath in a shower and avoids bath tub,0
train_00069,He killed him with a knife,He killed him with a programming language,1
train_00070,The cinema shared popcorn with them,They shared their popcorn at the cinema,0
train_00071,Rotten food usually smells nasty.,Rotten food smells nice.,1
train_00072,An actor wear a toaster.,An actor can wear a costume.,0
train_00073,The man slept in bed.,The man slept on the volcano.,1
train_00074,She spoke to a ghost at the door.,She spoke to a man at the door.,0
train_00075,You will find teachers in a school.,You will never see a teacher inside of a school.,1
train_00076,She cuts a pizza with an advertising board.,She cuts a pizza with a knife.,0
train_00077,They built a house.,They built the sun,1
train_00078,The man put some buildings in the microwave,The man put some muffins in the microwave,0
train_00079,There was a bird flying.,There was a chicken flying.,1
train_00080,He played the cow very well,He played the harp very well,0
train_00081,If your heartbeat stops then you are classed as dead.,You are still alive if you do not have a heartbeat.,1
train_00082,the trampoline jumped on him,He jumped on the trampoline,0
train_00083,Georgia Tech is a school.,Georgia Tech trains dragons,1
train_00084,She was going to school in a lunch box,She was going to school in a bus,0
train_00085,The moon turns full about once a month,The moon gets fixed and that's how it returns to full,1
train_00086,The man paid the bill with water.,The man paid the bill with cash.,0
train_00087,You are cooking the dinner,You are cooking the music,1
train_00088,She write the story in water,She write the story in paper,0
train_00089,A computer can run out of storage.,The storage in every computer is unlimited.,1
train_00090,People only cry when they are angry.,People cry when they are sad.,0
train_00091,Most people like to have coffee and doughnuts in the morning.,Most people like to have hamburgers and pudding in the morning.,1
train_00092,Frank hit Will with a pillow causing him pain,Frank hit Will with a stone causing him pain,0
train_00093,He put a sock on his foot.,he put the sock on the drum.,1
train_00094,he shaved his teeth,he shaved his beard,0
train_00095,She put mustard on a corndog.,She put mustard on a star.,1
train_00096,they put on ghillie suits to go outside,they put on shoes to walk outside,0
train_00097,He was playing music,He was playing fridge,1
train_00098,A person is not allowed to visit their relatives.,A person can visit relatives.,0
train_00099,Tight shoes cause discomfort.,Tight shoes are comfortable.,1
train_00100,Low blood pressure is a hazardous way to diet and lose weight.,"A diet is a great way to lower blood pressure, and lose weight.",0
train_00101,Plants can make carbohydrates,Plants can make computers,1
train_00102,My friend like to eat electronic goods.,My friend like to eat non-veg food,0
train_00103,france is in Europe,Europe is in france,1
train_00104,He drove his car to the moon,He drove his car to London,0
train_00105,"When a baby is born, that day is called its' birthday.",The babies birthday is the day their parents met.,1
train_00106,A sheep shops at Walmart,A lady shops at Walmart,0
train_00107,Drinking alcohol gets you drunk.,You can not get drunk from alcohol.,1
train_00108,The fire hydrant shot a bullet,The gun shot a bullet,0
train_00109,A forest is an area covered with trees,A forest is an area covered with snow,1
train_00110,The building built him,He built a building,0
train_00111,The grass is growing.,The grass is singing.,1
train_00112,She cut the meat with a fridge.,She cut the meat with a knife.,0
train_00113,I ran to the barn.,I ran to the sky.,1
train_00114,No one uses pens to write with.,People write with pens.,0
train_00115,The whale swims in the ocean.,The whale swims in a bathtub.,1
train_00116,A boxer would never punch in a boxing match.,A boxer is likely to throw a punch in a boxing match.,0
train_00117,There was a person drinking water.,There was a person drinking sulfuric acid.,1
train_00118,She drank a cup of tires.,She drank a cup of tea.,0
train_00119,He was changing tv channels with remote,He was changing tv channels with screwdriver,1
train_00120,The giraffe swam through the ocean,The whale swam through the ocean,0
train_00121,He moved his belongings to a new city,He moved a city to his belongings,1
train_00122,he put the ice cream in the closet,He put the ice cream in the freezer,0
train_00123,The plane was full of people,The people were full of planes,1
train_00124,She went to the shop to buy hands,She went to the shop to buy bread,0
train_00125,He took the trash out to the curb.,He took the curb to the trash.,1
train_00126,Alice lit a rock at night,Alice lit a candle at night,0
train_00127,She delivered a pizza.,She flew on a pizza.,1
train_00128,A musician can perform a surgery,A musician can play an instrument,0
train_00129,She brushed her teeth with a brush.,She brushed her teeth with a truck.,1
train_00130,The house entered the man,The man entered the house,0
train_00131,He put an orange on the shelf,He put a whale on the shelf.,1
train_00132,Jill ate the wizard in her book.,Jill wrote a book about wizards.,0
train_00133,He travels by a bus to reach the office.,He travels by a laptop to reach the office.,1
train_00134,He buys a book to eat.,He buys a burger to eat.,0
train_00135,The ice melted at room temperature.,The table melts at room temperature.,1
train_00136,He walked to mars,He walked to the store,0
train_00137,He raised a tambourine with his hands.,He lifted a tractor with his hands.,1
train_00138,Dwight cut down a mountain,Dwight cut down a tree,0
train_00139,he swam in the lake,he swam in the lava,1
train_00140,He put a horse in his wallet.,He put a card in his wallet.,0
train_00141,The woman wrote down the story with a pencil on paper,The woman wrote down the story with a spoon on paper,1
train_00142,she ate a brick,she ate a banana,0
train_00143,I use swords,Swords use me,1
train_00144,Geralt flies his car every day,Geralt drives his car every day,0
train_00145,She needed to call her mother but she could not find her phone,She needed to call her mother but she could not find her car keys,1
train_00146,He served a globe for dinner,He served vegetables for dinner,0
train_00147,He went to restaurant because he feels hungry,He went to  beauty parlour because he feels hungry,1
train_00148,The Piano was hit,The Piano was played,0
train_00149,today will be 24 hours,today will be 30 hours,1
train_00150,A cup is for holding a gas you plan to drink.,A cup is for holding a liquid you plan to drink.,0
train_00151,I dress myself,I dress a lion,1
train_00152,He threw an anvil into the basket.,He threw the ball into the basket.,0
train_00153,I like to eat boiled eggs,I like to eat cooked ice cream,1
train_00154,He ate a crane.,He ate barbecue.,0
train_00155,He danced on the floor,He danced on the spoon,1
train_00156,A landscape is a painting or a photograph which focuses on the face of a person,A portrait is a painting or a photograph which focuses on the face of a person,0
train_00157,The child rubbed mud on his face.,The child ate mud off of his face.,1
train_00158,A man defrosted a chicken using a lighter.,A man defrosted a chicken using a microwave.,0
train_00159,He was walking on the road.,He was walking on the water.,1
train_00160,A shark interviews a fish.,A shark eats a fish,0
train_00161,She lifted a chair.,She lifted a tractor.,1
train_00162,She makes a call by the stove.,She makes a phone call.,0
train_00163,The sun shines bright in the day,The sun shines bright in the night,1
train_00164,The book eats,The elephant eats,0
train_00165,The woman writes in the book.,The woman writes in the sky.,1
train_00166,the country of liegenpoofa exists,the country of Denmark exists,0
train_00167,Something you can find on a desktop is dust.,You will never find dust on a desktop.,1
train_00168,Dogs eat extension cords.,Dogs eat dog food.,0
train_00169,Children love reading stories,Children love doing the laundry,1
train_00170,You can take a bath in a blender,You can take a bath in a tub,0
train_00171,The coin was made of silver,The coin was made of cheese,1
train_00172,A fork is used for cutting bread,A bread knife is used for cutting bread,0
train_00173,She makes omelette with chicken's egg.,She makes omelette with horse's egg.,1
train_00174,She lay on the pool water to sleep,She lay on the bed to sleep,0
train_00175,The water on the stove is boiling.,The water froze on the stove.,1
train_00176,A horse spun a web,A spider spun a web.,0
train_00177,she bought minecraft to play on her xbox,she bought minecraft to play netball with,1
train_00178,She put a house in her purse.,She put a phone in her bag.,0
train_00179,She took the laptop in the car,She took a battle tank in the car.,1
train_00180,He put the shoes in his mouth,He put the pills in his mouth.,0
